Attack / Operation / Campaign,Year of attack,IoC Class,IoC Type,IoC Subtype,Indicator,Source of info
,,General,MITRE Sub-technique,,T1027.010,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1588.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1588.003,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1003.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1003.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1003.003,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1566.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1566.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1055.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1021.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1021.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1021.006,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1053.005,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1518.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1558.003,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1553.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1218.011,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1569.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1552.006,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1550.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1204.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1204.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1078.002,https://attack.mitre.org/groups/G0102/
,,General,Software,,AdFind,https://attack.mitre.org/groups/G0102/
,,General,Software,,Anchor,https://attack.mitre.org/groups/G0102/
,,General,Software,,Bazar,https://attack.mitre.org/groups/G0102/
,,General,Software,,BITSAdmin,https://attack.mitre.org/groups/G0102/
,,General,Software,,BloodHound,https://attack.mitre.org/groups/G0102/
,,General,Software,,Cobalt Strike,https://attack.mitre.org/groups/G0102/
,,General,Software,,Conti,https://attack.mitre.org/groups/G0102/
,,General,Software,,Diavol,https://attack.mitre.org/groups/G0102/
,,General,Software,,Dyre,https://attack.mitre.org/groups/G0102/
